"Id","price","host_is_superhost","host_total_listings_count","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","security_deposit","cleaning_fee","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","cancellation_policy","reviews_per_month"
739,100,"f",1,"f",-33.65276065,151.3207885,"Townhouse","Private room",2,1.5,1,1,,,0,2,1125,8,100,10,10,10,10,10,10,"f","f","flexible",0.83
740,299,"f",2,"f",-33.63933921,151.3217014,"House","Entire home/apt",6,1,3,3,600,150,50,1,1125,4,100,10,9,10,10,10,9,"t","f","moderate",4
741,265,"f",1,"t",-33.79336075,151.2840834,"Apartment","Entire home/apt",2,1,1,2,300,60,60,3,1125,3,100,10,10,10,10,9,10,"f","f","strict",0.87
742,115,"f",1,"f",-33.78744306,151.2696761,"Apartment","Entire home/apt",2,1,1,1,500,80,0,7,21,1,100,8,6,10,10,10,8,"f","f","strict",0.02
743,350,"f",1,"t",-33.7636485,151.2888752,"House","Entire home/apt",6,2,3,3,0,150,0,4,50,9,98,10,10,10,10,10,9,"t","f","strict",0.72
744,90,"f",1,"t",-33.78360464,151.2717438,"Apartment","Entire home/apt",4,1,1,2,,,0,2,1125,0,,,,,,,,"t","f","moderate",
745,260,"f",1,"f",-33.58935142,151.2985035,"House","Entire home/apt",9,1,4,6,1000,150,0,2,1125,7,97,10,10,9,9,9,10,"f","f","strict",0.51
746,350,"f",1,"t",-33.75399795,151.2578268,"House","Entire home/apt",6,1.5,3,3,0,100,0,6,17,0,,,,,,,,"t","f","moderate",
747,235,"f",1,"f",-33.80503391,151.2899853,"Apartment","Entire home/apt",3,1,2,2,500,50,0,4,10,0,,,,,,,,"f","f","strict",
748,250,"f",17,"f",-33.79558318,151.2870201,"Apartment","Entire home/apt",4,2,2,3,450,0,0,1,1125,2,80,8,10,8,10,10,6,"t","f","strict",0.39
749,60,"f",1,"f",-33.79543244,151.2841882,"Apartment","Private room",2,1,1,1,,,15,1,30,0,,,,,,,,"f","f","moderate",
750,221,"f",1,"t",-33.79625674,151.285807,"Apartment","Entire home/apt",4,1,1,2,200,100,0,2,1125,48,95,10,10,10,10,10,10,"t","f","strict",3.78
751,95,"f",2,"f",-33.78679026,151.2865704,"Apartment","Private room",2,1,1,1,,,0,1,1125,15,84,9,9,9,9,10,9,"t","f","moderate",1.46
752,350,"f",1,"t",-33.80073648,151.2899267,"Apartment","Entire home/apt",4,1,2,2,,75,0,7,14,2,100,10,10,10,10,10,10,"f","f","strict",2
753,330,"f",1,"t",-33.8069022,151.284832,"Apartment","Entire home/apt",2,1.5,1,1,1000,150,0,5,1125,1,100,10,10,10,10,10,8,"f","f","strict",0.05
754,235,"f",1,"t",-33.67472258,151.3140199,"Guesthouse","Entire home/apt",4,1,2,2,1000,85,0,3,60,1,100,8,10,10,10,10,8,"f","f","moderate",0.08
755,200,"f",1,"t",-33.77792083,151.2826372,"Apartment","Entire home/apt",2,1,1,2,500,50,0,2,1125,5,100,10,10,10,9,10,9,"f","f","strict",0.14
756,350,"f",4,"f",-33.63720404,151.282553,"House","Entire home/apt",5,2,3,3,,140,0,2,1125,29,95,10,9,10,10,10,9,"f","f","strict",1.04
757,118,"f",1,"t",-33.80001395,151.2918542,"Apartment","Entire home/apt",2,1,1,1,0,80,0,3,1125,0,,,,,,,,"f","f","strict",
758,209,"f",1,"f",-33.77468971,151.2847166,"Apartment","Entire home/apt",4,1,2,2,,,0,1,1125,4,100,10,10,10,10,10,10,"f","f","flexible",0.13
759,99,"f",1,"f",-33.73524738,151.2741734,"House","Entire home/apt",4,1,0,2,0,0,0,1,30,5,92,10,10,10,10,10,10,"f","f","moderate",2.73
760,401,"t",1,"f",-33.6169529,151.3275447,"House","Entire home/apt",7,2,3,4,250,200,0,2,1125,20,96,10,9,10,10,10,10,"f","f","strict",3.75
761,401,"f",1,"f",-33.64912714,151.3143965,"House","Entire home/apt",7,2,3,4,150,150,0,2,14,0,,,,,,,,"f","f","strict",
762,289,"f",2,"t",-33.78973932,151.2854084,"Apartment","Entire home/apt",6,1,2,3,500,135,0,1,180,1,100,10,8,10,10,10,8,"f","f","strict",1
763,70,"f",1,"f",-33.79399642,151.2850282,"House","Private room",2,1,1,1,,,0,3,6,0,,,,,,,,"t","f","strict",
764,175,"f",1,"t",-33.78464785,151.2884223,"Apartment","Entire home/apt",4,1,2,2,500,75,0,3,1125,1,100,10,10,10,10,10,10,"f","f","strict",0.29
765,232,"f",1,"t",-33.77597085,151.2563542,"House","Entire home/apt",9,3,4,5,,80,0,4,12,0,,,,,,,,"f","f","flexible",
766,228,"f",2,"t",-33.7991025,151.2916967,"Apartment","Entire home/apt",4,1,2,2,300,50,0,4,1125,40,90,9,8,10,10,10,9,"f","f","strict",0.81
767,180,"t",2,"f",-33.6027592,151.3018512,"House","Entire home/apt",8,1.5,3,7,1000,150,15,2,30,15,96,10,9,10,10,10,10,"f","f","strict",0.81
768,70,"f",1,"t",-33.80256321,151.2905909,"House","Private room",2,1,1,1,,,0,2,7,0,,,,,,,,"t","f","flexible",
769,330,"f",1,"f",-33.72861811,151.2871437,"House","Entire home/apt",7,3,4,4,,,0,5,1125,3,100,10,10,10,10,10,10,"f","f","flexible",0.1
770,200,"f",1,"f",-33.79945292,151.2795666,"Apartment","Entire home/apt",4,1,2,2,,60,0,2,4,8,95,10,10,10,10,10,10,"f","f","moderate",0.27
771,131,"f",2,"t",-33.80105609,151.2632644,"Cabin","Entire home/apt",2,1,0,1,,,0,3,1125,2,80,9,8,10,10,9,9,"f","f","flexible",0.05
772,100,"f",2,"f",-33.79425931,151.2843341,"Apartment","Private room",2,1,2,1,,,0,2,30,0,,,,,,,,"t","f","flexible",
773,200,"f",1,"f",-33.68146712,151.3035157,"House","Entire home/apt",5,2.5,3,3,150,100,0,5,25,1,100,10,10,10,10,10,10,"t","f","strict",1
774,175,"f",1,"t",-33.70411834,151.2922646,"House","Entire home/apt",4,1,2,3,1000,0,0,2,1125,1,100,10,10,10,10,10,10,"t","f","moderate",1
775,225,"f",2,"f",-33.7873441,151.2867012,"Apartment","Entire home/apt",4,1,2,2,,80,0,2,1125,13,95,10,9,10,10,10,9,"f","f","flexible",0.55
776,300,"f",1,"f",-33.67726737,151.2953937,"House","Entire home/apt",6,2,3,4,1000,100,0,7,21,2,90,9,9,10,10,10,10,"f","f","moderate",0.16
777,180,"f",1,"t",-33.75568855,151.2839232,"Apartment","Entire home/apt",5,2,2,4,250,100,0,7,31,10,96,10,10,10,10,10,10,"f","f","flexible",0.23
778,49,"f",1,"t",-33.72888196,151.2647898,"House","Private room",2,1,1,2,,,25,2,90,9,100,10,10,10,10,10,10,"f","f","flexible",0.61
779,100,"t",2,"t",-33.78848484,151.2847393,"House","Private room",3,1,1,2,150,35,25,1,14,23,96,10,10,10,10,10,9,"f","f","strict",1.22
780,128,"f",1,"f",-33.78793185,151.2831004,"Apartment","Entire home/apt",2,1,1,1,,77,0,3,1125,1,100,10,10,10,10,10,10,"f","f","strict",0.04
781,396,"t",2,"t",-33.67950221,151.2979088,"House","Entire home/apt",8,2.5,4,4,,,0,5,21,0,,,,,,,,"f","f","strict",
782,95,"f",1,"f",-33.75886631,151.201923,"Apartment","Entire home/apt",2,1,1,1,130,50,0,3,1125,3,93,10,10,10,10,10,10,"t","t","moderate",1.27
783,401,"f",1,"t",-33.63089351,151.3369831,"House","Entire home/apt",4,2,2,4,,80,36,4,1125,8,94,9,9,9,9,10,9,"t","f","moderate",0.51
784,167,"f",1,"f",-33.79605909,151.2856582,"Apartment","Entire home/apt",4,1,0,2,,60,0,3,1125,1,100,10,10,10,10,10,10,"t","f","strict",1
785,80,"f",2,"f",-33.78744801,151.288668,"Apartment","Private room",2,1,2,1,300,60,0,3,6,0,,,,,,,,"t","f","strict",
786,124,"f",1,"f",-33.80001203,151.2604657,"Apartment","Entire home/apt",4,1,2,3,250,85,20,2,89,2,100,10,10,10,10,10,10,"f","f","strict",0.43
787,90,"f",2,"t",-33.79336202,151.2608747,"House","Private room",2,1,1,1,150,20,0,1,10,0,,,,,,,,"f","f","moderate",
788,120,"f",1,"f",-33.76779745,151.2894272,"House","Entire home/apt",3,1,2,2,150,50,50,3,10,1,80,8,6,10,10,10,6,"t","f","flexible",1
789,80,"f",1,"f",-33.7957768,151.2884602,"Apartment","Private room",1,0.5,1,1,,,0,1,1125,0,,,,,,,,"f","f","flexible",
790,150,"t",2,"t",-33.6277724,151.3203917,"Apartment","Entire home/apt",4,1,2,2,,,25,1,1125,71,97,10,10,10,10,10,10,"f","f","flexible",2.84
791,139,"f",1,"t",-33.78922251,151.2834593,"Apartment","Entire home/apt",2,1,1,1,,,0,2,1125,0,,,,,,,,"t","f","flexible",
792,319,"t",3,"f",-33.62923655,151.3261411,"Vacation home","Entire home/apt",5,2,2,4,600,195,0,2,14,7,97,10,10,10,10,9,9,"f","f","strict",1.07
793,350,"f",17,"f",-33.79625962,151.2882885,"Apartment","Entire home/apt",5,2,2,3,500,0,0,2,1125,8,93,10,10,10,10,10,9,"t","f","strict",0.88
794,120,"f",1,"f",-33.70619982,151.2878422,"House","Entire home/apt",4,2,2,3,200,80,25,2,1125,2,100,10,10,10,10,10,10,"f","f","strict",0.67
795,250,"f",1,"t",-33.79871762,151.2826189,"Apartment","Entire home/apt",2,1,1,3,0,0,100,2,1125,3,93,10,9,9,9,10,9,"f","f","strict",1.96
796,250,"f",1,"t",-33.68033897,151.3109536,"Townhouse","Entire home/apt",4,1.5,2,2,350,150,0,2,1125,6,100,10,10,10,10,10,10,"f","f","moderate",0.84
797,401,"f",1,"f",-33.7923382,151.2880373,"Apartment","Entire home/apt",6,2,3,4,500,180,0,2,1125,9,96,10,9,9,9,10,9,"f","f","strict",0.4
798,350,"f",3,"t",-33.79994482,151.2735834,"Apartment","Entire home/apt",8,3,5,5,1502,200,100,7,1125,1,80,8,10,10,10,10,8,"f","f","moderate",0.07
799,126,"f",1,"t",-33.75194768,151.28409,"Apartment","Entire home/apt",3,1,1,1,,,0,2,3,0,,,,,,,,"f","f","flexible",
800,145,"f",1,"f",-33.80274857,151.2887002,"Apartment","Private room",2,1,1,1,,30,0,1,1125,0,,,,,,,,"f","f","flexible",
801,390,"f",1,"t",-33.62729558,151.3279188,"House","Entire home/apt",6,2,3,6,500,125,0,3,90,4,87,9,9,10,10,10,9,"t","f","flexible",0.11
802,110,"f",2,"t",-33.78722404,151.2924612,"House","Private room",2,1,1,1,200,,20,2,1125,54,91,9,10,10,9,10,9,"f","f","strict",1.48
803,190,"f",1,"t",-33.78457963,151.2708128,"House","Entire home/apt",6,1,3,5,500,125,0,5,28,3,100,10,9,10,10,10,10,"t","f","strict",0.78
804,200,"f",2,"f",-33.69945403,151.2778522,"House","Entire home/apt",10,3,0,1,,,0,7,1125,0,,,,,,,,"f","f","flexible",
805,350,"f",1,"t",-33.79737101,151.2762868,"Townhouse","Entire home/apt",7,2,3,4,,,0,2,1125,0,,,,,,,,"f","f","strict",
806,435,"f",1,"f",-33.69040161,151.3036751,"House","Entire home/apt",5,1,3,3,600,190,0,7,20,0,,,,,,,,"f","f","moderate",
807,290,"f",1,"f",-33.77418902,151.2807725,"House","Entire home/apt",6,1.5,4,5,800,120,0,5,400,3,70,6,5,10,9,9,8,"f","f","strict",0.08
808,180,"f",1,"t",-33.75495804,151.2967639,"Apartment","Entire home/apt",4,1,2,3,300,100,0,5,90,11,95,10,9,10,10,10,10,"f","f","moderate",0.44
809,79,"f",5,"t",-33.79118761,151.2846072,"Boutique hotel","Private room",2,0,1,1,127,55,0,2,1125,2,90,9,9,10,10,9,8,"t","f","moderate",0.16
810,401,"f",1,"t",-33.62151758,151.338687,"House","Entire home/apt",2,1,1,1,500,50,0,3,1125,0,,,,,,,,"f","f","moderate",
811,221,"f",1,"t",-33.80276518,151.2902775,"Townhouse","Entire home/apt",4,1.5,2,2,,60,0,4,1125,1,100,8,10,10,10,10,10,"f","f","flexible",0.04
812,90,"f",1,"f",-33.77886087,151.292727,"Apartment","Private room",2,1,1,1,,,0,1,1125,0,,,,,,,,"t","f","flexible",
813,340,"f",40,"f",-33.58934331,151.2991962,"House","Entire home/apt",7,1.5,3,4,500,260,0,2,1125,3,93,9,9,10,10,9,9,"t","f","strict",0.38
814,110,"f",1,"f",-33.79756483,151.2864128,"Apartment","Entire home/apt",3,1,1,2,500,100,0,3,60,82,96,10,10,10,10,10,10,"f","f","strict",2.28
815,65,"f",2,"f",-33.67823355,151.295637,"House","Private room",1,1,1,2,,50,0,3,30,1,100,10,10,10,10,10,10,"f","f","flexible",0.42
816,99,"f",1,"t",-33.6282049,151.3264931,"Guesthouse","Entire home/apt",3,1,1,2,0,50,60,2,1125,3,93,9,10,10,10,9,9,"f","f","strict",3
817,319,"f",1,"t",-33.78541204,151.2661267,"Apartment","Entire home/apt",4,2,1,2,350,80,0,3,1125,6,100,10,10,10,10,10,10,"f","f","strict",0.27
818,300,"f",1,"t",-33.80035342,151.2863344,"Apartment","Entire home/apt",6,2.5,3,3,,,0,4,7,1,100,10,10,10,10,10,10,"t","f","flexible",0.04
819,82,"f",2,"f",-33.79420968,151.284358,"Apartment","Private room",1,1,1,1,,50,0,1,1125,9,84,9,10,10,10,10,9,"f","f","flexible",0.78
820,160,"f",4,"t",-33.79551831,151.2878633,"Apartment","Entire home/apt",2,1,1,1,200,90,20,3,60,19,96,10,9,10,10,10,10,"f","f","strict",1.39
821,205,"f",1,"f",-33.790628,151.2869389,"Apartment","Entire home/apt",2,1,1,1,500,60,20,2,1125,0,,,,,,,,"f","f","flexible",
822,118,"f",1,"t",-33.75832172,151.2944482,"Apartment","Entire home/apt",4,1,2,2,300,170,0,5,1125,1,100,8,10,10,8,6,8,"f","f","strict",0.08
823,90,"f",1,"t",-33.6600425,151.3150488,"House","Entire home/apt",3,1,2,2,,,0,1,1125,1,100,10,10,10,10,10,10,"f","f","flexible",0.03
824,250,"f",1,"t",-33.80090477,151.2874,"Apartment","Entire home/apt",4,1,2,2,,,0,6,30,1,100,10,8,10,10,10,10,"t","f","flexible",1
825,39,"f",1,"f",-33.79522442,151.2708804,"Apartment","Private room",1,1,1,1,,,30,60,1125,0,,,,,,,,"f","f","flexible",
826,160,"f",2,"f",-33.79695746,151.2797776,"Apartment","Private room",2,1,1,1,,,0,3,1125,0,,,,,,,,"f","f","strict",
827,380,"f",1,"t",-33.79019286,151.2773486,"House","Entire home/apt",7,3,3,5,500,150,0,7,1125,4,95,10,10,10,10,10,10,"f","f","strict",0.11
828,180,"f",2,"t",-33.7942764,151.2829833,"Apartment","Entire home/apt",4,1,2,2,500,60,0,3,14,5,96,10,9,10,10,10,9,"f","f","strict",0.38
829,100,"f",1,"f",-33.79157603,151.260795,"House","Private room",3,1.5,2,2,,,0,5,35,0,,,,,,,,"f","f","moderate",
830,65,"f",1,"t",-33.79794084,151.2755305,"House","Private room",1,1,1,1,,30,20,5,1125,2,100,10,10,10,10,10,10,"t","f","flexible",0.08
831,150,"f",2,"t",-33.6952971,151.2885078,"House","Entire home/apt",4,1,2,2,500,100,0,85,180,9,93,10,9,10,10,10,10,"t","f","strict",0.24
832,87,"t",1,"t",-33.74346619,151.210496,"Bed & Breakfast","Entire home/apt",2,1,1,1,,55,10,2,90,35,99,10,10,10,10,10,10,"f","f","moderate",1.81
833,180,"t",1,"f",-33.80248789,151.2897785,"Apartment","Entire home/apt",3,1,2,2,506,100,0,6,60,11,95,10,9,10,10,10,9,"f","f","flexible",0.46
834,240,"f",3,"t",-33.65523255,151.3182086,"Apartment","Entire home/apt",5,2,3,3,400,100,0,2,365,75,91,10,9,9,10,10,9,"f","f","moderate",2.03
835,311,"f",1,"f",-33.7338151,151.2244361,"House","Entire home/apt",8,2.5,5,5,500,200,10,2,1125,1,100,10,10,10,10,10,10,"f","f","moderate",0.08
836,124,"f",1,"f",-33.7940187,151.2417227,"Apartment","Entire home/apt",2,1,1,1,200,50,0,2,120,2,100,10,10,10,10,9,10,"t","f","strict",0.48
837,90,"f",1,"f",-33.79691576,151.2847654,"Apartment","Entire home/apt",2,1,0,1,,,0,12,12,0,,,,,,,,"t","f","flexible",
838,90,"f",2,"f",-33.79725858,151.275911,"Apartment","Entire home/apt",4,1,2,2,400,25,20,3,1125,0,,,,,,,,"f","f","moderate",
839,70,"f",1,"f",-33.6734614,151.3013228,"Apartment","Private room",1,1.5,1,1,500,50,0,3,10,2,90,9,9,10,10,10,9,"f","f","moderate",0.06
840,139,"f",2,"t",-33.79254367,151.2781886,"House","Private room",2,1,1,1,,,0,2,30,0,,,,,,,,"f","f","strict",
841,60,"f",2,"f",-33.72461762,151.2158765,"House","Private room",3,1,1,1,200,10,20,2,30,2,100,10,10,10,10,9,10,"t","f","flexible",0.16
842,223,"f",1,"f",-33.7862056,151.2836319,"House","Entire home/apt",6,1.5,3,5,,150,0,3,1125,5,60,6,4,8,8,8,6,"f","f","strict",0.13
843,250,"f",1,"t",-33.80134937,151.2880628,"House","Entire home/apt",6,4,3,3,,,0,5,1125,1,100,10,8,10,10,10,10,"f","f","strict",0.22
844,150,"f",1,"f",-33.60423321,151.2985499,"House","Entire home/apt",4,1.5,2,3,200,65,395,2,7,12,93,9,9,10,9,10,9,"t","f","flexible",1.2
845,99,"f",11,"f",-33.78924239,151.2846805,"Guesthouse","Private room",2,1,1,1,,,0,3,1125,5,95,10,9,10,10,10,10,"t","f","moderate",0.32
846,82,"f",1,"f",-33.77056334,151.2643086,"Apartment","Entire home/apt",2,1,1,2,,,0,1,30,0,,,,,,,,"f","f","flexible",
847,250,"f",1,"t",-33.79864322,151.2825017,"Apartment","Entire home/apt",2,1,1,1,,30,0,7,14,0,,,,,,,,"t","f","strict",
848,300,"f",1,"f",-33.77391735,151.2906164,"Vacation home","Entire home/apt",6,2,3,3,500,0,0,7,60,0,,,,,,,,"f","f","strict",
849,250,"f",7,"f",-33.79644854,151.287127,"Apartment","Entire home/apt",5,2,2,3,1500,,0,1,1125,3,93,9,9,9,10,10,9,"f","f","strict",0.33
850,150,"f",1,"t",-33.76857577,151.270184,"Apartment","Entire home/apt",4,1,2,3,200,25,0,2,14,7,97,10,9,10,10,9,9,"f","f","strict",0.45
851,200,"f",2,"f",-33.77983269,151.2861755,"Apartment","Entire home/apt",5,1,2,3,150,115,25,1,1125,6,77,8,8,9,10,10,7,"f","f","strict",2.69
852,190,"f",2,"t",-33.63205024,151.3167945,"House","Entire home/apt",7,2.5,4,4,,,0,5,1125,2,70,8,2,8,9,8,5,"t","f","moderate",2
853,150,"f",1,"f",-33.73263766,151.2662022,"House","Entire home/apt",5,1,3,3,500,150,0,7,30,3,100,10,10,10,10,10,10,"f","f","flexible",0.08
854,70,"f",1,"f",-33.80096905,151.2918925,"House","Private room",2,1,1,1,,,0,1,1125,0,,,,,,,,"f","f","flexible",
855,240,"f",2,"f",-33.7627277,151.2983279,"Apartment","Entire home/apt",5,1,2,3,250,60,20,3,1125,2,90,10,8,10,10,10,10,"f","f","strict",0.46
856,240,"t",3,"t",-33.79755699,151.2669178,"Apartment","Entire home/apt",4,1,2,3,200,50,100,1,1125,6,100,10,10,10,10,10,10,"t","f","flexible",3
857,95,"f",1,"f",-33.65090766,151.3110184,"House","Private room",2,1,1,1,150,0,0,2,30,5,100,10,10,10,10,10,10,"f","f","strict",0.1
858,160,"f",1,"t",-33.80283995,151.288592,"Apartment","Entire home/apt",2,1,1,1,,,0,5,1125,0,,,,,,,,"f","f","flexible",
859,180,"f",1,"f",-33.75552795,151.2637085,"Condominium","Entire home/apt",2,1.5,1,1,250,,0,2,1125,4,100,9,10,10,10,9,9,"f","f","moderate",0.16
860,180,"f",1,"t",-33.76192574,151.2672581,"Apartment","Entire home/apt",4,2,2,2,0,0,0,15,30,0,,,,,,,,"t","f","flexible",
861,401,"f",1,"f",-33.62218815,151.3366191,"House","Entire home/apt",8,2,3,3,500,241,0,2,30,0,,,,,,,,"f","f","strict",
862,420,"f",1,"f",-33.79363857,151.2844818,"Apartment","Entire home/apt",2,1,1,1,,150,0,9,1000,0,,,,,,,,"t","f","flexible",
863,250,"f",1,"f",-33.62323204,151.3170517,"Apartment","Entire home/apt",2,1,1,1,500,150,0,5,10,4,100,10,9,10,10,10,10,"f","f","strict",0.26
864,120,"f",1,"f",-33.79579568,151.2816499,"Apartment","Entire home/apt",2,1,1,1,,,0,5,18,2,100,10,10,10,10,10,9,"t","f","strict",2
865,280,"f",1,"f",-33.6527877,151.3198702,"Apartment","Entire home/apt",4,2,2,3,0,80,0,6,14,4,100,10,10,10,10,10,10,"f","f","strict",0.32
866,106,"f",1,"f",-33.71750241,151.298455,"Apartment","Entire home/apt",3,1,2,2,,,0,2,1125,1,80,10,8,10,10,10,10,"t","f","flexible",0.3
867,289,"f",1,"f",-33.77095555,151.2735067,"Other","Entire home/apt",6,1.5,3,3,,70,0,7,21,2,100,10,8,10,10,10,10,"f","f","moderate",0.16
868,153,"f",1,"t",-33.79571343,151.2858498,"Apartment","Entire home/apt",4,1,2,3,350,65,15,2,1125,35,98,10,10,10,10,10,10,"t","f","strict",4.73
869,200,"f",1,"f",-33.79187394,151.2846301,"Apartment","Entire home/apt",2,1,1,1,0,50,0,1,1125,0,,,,,,,,"t","f","flexible",
870,250,"f",1,"t",-33.77895948,151.2822307,"House","Entire home/apt",4,1,2,3,,50,0,5,1125,3,100,10,9,10,10,9,10,"t","f","strict",1.06
871,110,"f",1,"t",-33.74574357,151.2884819,"Apartment","Entire home/apt",2,1,1,1,0,30,10,14,35,25,96,10,10,10,10,9,9,"f","f","strict",0.94
872,131,"t",1,"t",-33.79317668,151.2824909,"Apartment","Entire home/apt",2,1,1,1,200,85,0,2,1125,11,100,10,10,10,10,10,10,"t","f","moderate",3.03
873,126,"f",1,"f",-33.79848422,151.2499816,"Apartment","Entire home/apt",4,1,3,3,,,0,14,28,0,,,,,,,,"t","f","flexible",
874,295,"f",1,"t",-33.78408237,151.2881105,"Apartment","Entire home/apt",6,2,3,3,750,220,30,21,70,13,100,10,10,10,10,10,10,"f","t","strict",0.44
875,260,"f",1,"t",-33.76970332,151.280125,"Townhouse","Entire home/apt",6,2.5,3,4,500,150,0,14,21,0,,,,,,,,"f","f","strict",
876,80,"f",2,"t",-33.74921877,151.2918683,"Apartment","Entire home/apt",4,1,2,2,0,0,20,3,1125,0,,,,,,,,"t","f","strict",
877,150,"f",1,"f",-33.77671505,151.2838398,"Apartment","Entire home/apt",5,1,3,4,0,100,0,5,24,0,,,,,,,,"t","f","strict",
878,300,"f",1,"f",-33.64745766,151.3215065,"Apartment","Entire home/apt",6,1,3,3,750,175,50,1,1125,31,90,9,9,9,10,10,9,"f","f","strict",1.53
879,250,"f",1,"f",-33.79548756,151.2809787,"Apartment","Entire home/apt",4,1,2,2,,45,0,6,30,5,100,10,10,10,10,10,10,"t","f","flexible",0.33
880,150,"t",2,"t",-33.79508739,151.2845244,"Apartment","Entire home/apt",4,1,0,3,200,75,0,3,1125,75,93,10,9,10,10,10,9,"t","f","strict",2.65
881,300,"f",2,"f",-33.73596215,151.2123481,"House","Entire home/apt",5,3,4,4,,,0,10,28,1,80,6,2,10,10,10,8,"t","f","flexible",1
882,210,"f",10,"t",-33.79602864,151.2705033,"Apartment","Entire home/apt",2,1,0,1,450,90,0,3,1125,2,100,10,10,10,10,10,10,"f","f","strict",0.19
883,300,"f",1,"f",-33.62294777,151.3368015,"House","Entire home/apt",6,2,3,6,400,200,50,2,14,3,80,9,9,10,10,10,9,"f","f","moderate",0.12
884,145,"t",1,"t",-33.79707631,151.2647388,"Apartment","Entire home/apt",2,1,0,1,,,0,2,365,51,98,10,10,10,10,10,10,"f","f","strict",1.38
885,200,"t",2,"f",-33.79758101,151.2848785,"Apartment","Entire home/apt",4,1,2,3,,50,0,2,14,11,96,10,10,10,10,10,10,"t","f","flexible",1.21
886,220,"f",31,"t",-33.67214322,151.3118332,"House","Entire home/apt",6,2,3,5,1000,300,0,2,30,2,100,10,8,10,10,8,8,"f","f","strict",0.42
887,120,"t",3,"f",-33.69573799,151.2904135,"Bungalow","Entire home/apt",4,1,2,3,300,100,25,2,90,26,90,9,9,10,10,9,9,"f","f","strict",0.46
888,190,"f",1,"f",-33.79770588,151.276667,"Apartment","Entire home/apt",3,1,2,1,,40,0,3,11,3,87,9,7,10,10,10,10,"f","f","strict",0.12
889,134,"f",1,"f",-33.78767909,151.2734875,"Apartment","Entire home/apt",4,1,2,2,,50,0,2,1125,9,100,10,10,10,10,10,10,"t","f","flexible",0.77
890,300,"f",1,"t",-33.79742474,151.2653839,"Apartment","Entire home/apt",4,1,2,2,,,0,5,14,1,60,6,8,10,10,8,6,"t","f","flexible",1
891,44,"f",1,"f",-33.7976448,151.2841711,"Apartment","Private room",2,1,1,1,950,10,10,1,100,0,,,,,,,,"t","f","moderate",
892,330,"f",1,"f",-33.6295007,151.3235097,"House","Entire home/apt",4,2,3,3,500,150,0,7,22,0,,,,,,,,"f","f","strict",
893,200,"f",2,"t",-33.75591613,151.2919972,"House","Entire home/apt",6,1,2,4,650,90,0,1,1125,6,93,9,9,10,9,9,8,"f","f","strict",0.24
894,213,"f",156,"t",-33.79927713,151.2860182,"Apartment","Entire home/apt",4,1,2,2,1275,264,0,31,1125,8,89,8,7,9,9,10,7,"t","f","strict",0.59
895,95,"f",1,"t",-33.75096559,151.2932916,"Apartment","Entire home/apt",2,1,2,2,250,50,25,5,7,0,,,,,,,,"f","f","strict",
896,95,"f",1,"t",-33.79471388,151.258351,"Apartment","Entire home/apt",2,1,1,1,,,0,2,1125,18,95,10,10,10,10,10,10,"f","f","flexible",1.13
897,198,"f",2,"t",-33.66234786,151.3070012,"Apartment","Entire home/apt",5,1.5,2,3,200,90,30,2,90,9,96,10,10,10,10,10,9,"f","t","strict",0.57
898,49,"f",1,"t",-33.7866399,151.281764,"Condominium","Private room",2,1,1,1,,,0,1,1125,0,,,,,,,,"f","f","flexible",
899,110,"f",2,"t",-33.79519657,151.2855805,"Townhouse","Private room",2,1,1,1,250,25,0,2,1125,1,100,10,10,10,10,10,10,"f","f","flexible",0.06
900,221,"f",1,"t",-33.73984719,151.2732027,"House","Entire home/apt",4,2,3,3,220,135,40,3,21,2,100,10,9,10,10,9,10,"f","f","strict",0.14
901,80,"f",1,"f",-33.75257138,151.2788003,"Apartment","Entire home/apt",4,1,1,2,200,20,7,2,1125,11,100,10,10,10,10,9,10,"t","f","moderate",5.08
902,180,"f",1,"f",-33.68003726,151.2217807,"Guesthouse","Entire home/apt",4,1,2,3,200,55,383,2,1125,0,,,,,,,,"f","f","flexible",
903,90,"f",2,"t",-33.77834553,151.2833326,"Apartment","Private room",1,1,1,1,,,0,3,1125,0,,,,,,,,"t","f","flexible",
904,120,"f",1,"t",-33.76809753,151.2944248,"Apartment","Entire home/apt",2,1,1,1,1500,50,0,1,1125,22,92,10,10,9,10,10,9,"f","f","moderate",0.91
905,300,"f",1,"f",-33.7482453,151.2180515,"House","Entire home/apt",10,4.5,5,4,400,120,50,5,1125,1,100,10,10,10,10,10,10,"f","f","strict",1
906,126,"f",1,"f",-33.75401872,151.2949575,"Apartment","Entire home/apt",3,1,2,2,,,0,5,15,2,100,10,9,10,10,8,10,"t","f","moderate",2
907,225,"f",3,"t",-33.77430887,151.2867003,"House","Entire home/apt",7,2,4,3,1200,150,0,60,180,1,100,8,10,10,10,10,8,"f","f","moderate",0.02
908,221,"f",2,"t",-33.70550443,151.2873856,"House","Entire home/apt",5,1,3,3,0,100,0,7,1125,0,,,,,,,,"t","f","strict",
